	опыт работы	регион	пол	возраст	образование	вуз	язык	занятость	желаемая з/п	Последнее место работы
200	17 лет	Тула	Мужчина	38 лет	Высшее образование	Тульский Государственный Университет	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	80 000 ₽ на руки	Октябрь 2010 — по настоящее время13 лет 8 месяцев
201	23 года	Искитим	Мужчина	50 лет	Высшее образование	Восточно-Казахстанский государственный технический университет имени Д. Серикбаева, Усть-Каменогорск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	240 000 ₽ на руки	Август 2021 — по настоящее время2 года 10 месяцев
202	13 лет	Санкт-Петербург	Мужчина	38 лет	Высшее образование	Комсомольский-на-Амуре государственный технический университет, Комсомольск-на-Амуре	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Апрель 2015 — по настоящее время9 лет 2 месяца
203	3 года	Москва	Мужчина	25 лет	Высшее образование (Магистр)	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — B1 — Средний Немецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	130 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
204	10 лет	Москва	Мужчина	34 года	Высшее образование (Бакалавр)	Московский энергетический институт (Национальный исследовательский университет), Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, волонтерство	75 000 ₽ на руки	Март 2014 — по настоящее время10 лет 3 месяца
205	28 лет	Владимир	Мужчина	52 года	Высшее образование	питерский политех	Русский — Родной	Занятость: полная занятость	30 000 ₽ на руки	Март 1996 — по настоящее время28 лет 3 месяца
206	31 год	Саратов	Мужчина	54 года	Высшее образование	Саратовский государственный университет им. Н.Г. Чернышевского, Саратов	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	80 000 ₽ на руки	Август 1995 — по настоящее время28 лет 10 месяцев
207	18 лет	Петрозаводск	Мужчина	40 лет	Высшее образование	Петрозаводский государственный университет, Петрозаводск	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	2 500 $ на руки	Март 2014 — по настоящее время10 лет 3 месяца
208	10 лет	Москва	Мужчина	28 лет	Высшее образование (Бакалавр)	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	400 000 ₽ на руки	Май 2018 — по настоящее время6 лет 1 месяц
209	20 лет	Нижний Новгород	Мужчина	37 лет	Высшее образование	Нижегородский государственный университет им. Н.И. Лобачевского (Национальный исследовательский университет), Нижний Новгород	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Сентябрь 2014 — по настоящее время9 лет 9 месяцев
210	9 лет	Барыш	Мужчина	34 года	Высшее образование	"Негосударственное образовательное учреждение высшего профессионального образования ""Университет Российской академии образования"" г. Москва"	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	100 000 ₽ на руки	Май 2017 — по настоящее время7 лет 1 месяц
211	8 лет	Калининград	Мужчина	28 лет	Среднее образование	КГТУ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	20 000 ₽ на руки	Сентябрь 2016 — по настоящее время7 лет 9 месяцев
212	12 лет	Саратов	Мужчина	35 лет	Высшее образование	Саратовский государственный технический университет им. Ю.А. Гагарина, Саратов	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	50 000 ₽ на руки	Июнь 2012 — по настоящее время12 лет
213	17 лет	Москва	Мужчина	44 года	Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	120 000 ₽ на руки	Февраль 2007 — по настоящее время17 лет 4 месяца
214	7 лет	Санкт-Петербург	Мужчина	29 лет	Высшее образование	"Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" им. В.И. Ульянова (Ленина), Санкт-Петербург"	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	80 000 ₽ на руки	Июль 2016 — по настоящее время7 лет 11 месяцев
215	6 лет	Барнаул	Мужчина	28 лет	Среднее специальное образование	Московский государственный университет экономики, статистики и информатики, Москва	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	120 000 ₽ на руки	Март 2018 — по настоящее время6 лет 3 месяца
216	14 лет	Петрозаводск	Женщина	37 лет	Высшее образование	Петрозаводский государственный университет, Петрозаводск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	38 000 ₽ на руки	Июль 2021 — по настоящее время2 года 11 месяцев
217	22 года	Москва	Мужчина	42 года	Высшее образование	Коломенский институт Московского Государственного Открытого Университета	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Сентябрь 2007 — по настоящее время16 лет 9 месяцев
218	3 года	Санкт-Петербург	Мужчина	30 лет	Образование	Skillbox	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Октябрь 2020 — по настоящее время3 года 8 месяцев
219	24 года	Челябинск	Мужчина	42 года	Высшее образование	Рудненский индустриальный институт, Рудный	Русский — Родной Английский — A1 — Начальный Украинский — C2 — В совершенстве	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	50 000 ₽ на руки	Январь 2016 — по настоящее время8 лет 5 месяцев
220	5 лет	Краснодар	Мужчина	36 лет	Среднее специальное образование	Технический колледж, электроника, информатика	Русский — Родной Английский — B2 — Средне-продвинутый Испанский — C2 — В совершенстве	Занятость: полная занятость	80 000 ₽ на руки	Январь 2010 — Январь 20155 лет 1 месяц
221	15 лет	Ижевск	Мужчина	36 лет	Высшее образование	Удмуртский Государственный университет	Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный	Занятость: полная занятость	20 000 ₽ на руки	Май 2011 — по настоящее время13 лет 1 месяц
222	21 год	Воронеж	Женщина	55 лет	Высшее образование	Челябинский государственный университет	Английский — A1 — Начальный	Занятость: полная занятость	25 000 ₽ на руки	Декабрь 2002 — по настоящее время21 год 6 месяцев
223	28 лет	Вихоревка	Мужчина	54 года	Высшее образование	РГУФК -- Российский государственный университет физической культуры, спорта и туризма	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	10 000 ₽ на руки	Ноябрь 2018 — по настоящее время5 лет 7 месяцев
224	10 лет	Пенза	Мужчина	30 лет	Среднее специальное образование	ПКСТПБ 	Русский — Родной	Занятость: полная занятость	70 000 ₽ на руки	Февраль 2021 — по настоящее время3 года 4 месяца
225	15 years	Saint Petersburg	Male	36 years	Higher education	SPB ITMO University	Russian — Native English — B2 — Upper Intermediate Turkish — A1 — Basic	Employment: full time	150 000 ₽ in hand	March 2017 — currently7 years 3 months
226	12 лет	Красноярск	Мужчина	32 года	Высшее образование	Красноярский государственный педагогический университет им. В.П. Астафьева, Красноярск	Русский — Родной Английский — A1 — Начальный	Занятость: частичная занятость, проектная работа	1 000 ₽ на руки	Июнь 2014 — по настоящее время10 лет
227	23 года	Волгодонск	Мужчина	45 лет	Неоконченное высшее образование	"ВГУ (Воронежский государственный университет)	Воронеж"	Русский — Родной	Занятость: полная занятость	25 000 ₽ на руки	Август 2000 — по настоящее время23 года 10 месяцев
228	21 год	Пермь	Женщина	41 год	Высшее образование	Пермский Государственный Технический Университет	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	30 000 ₽ на руки	Октябрь 2009 — по настоящее время14 лет 8 месяцев
229	12 лет	Краснодар	Мужчина	35 лет	Высшее образование	Северодонецкий технологический институт Восточноукраинского национального университета им. В. Даля, Северодонецк	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	2 000 $ на руки	Июль 2014 — по настоящее время9 лет 11 месяцев
230	6 лет	Евпатория	Женщина	28 лет	Неоконченное высшее образование	СПбНИУ ИТМО	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	160 000 ₽ на руки	Сентябрь 2022 — по настоящее время1 год 9 месяцев
231	16 лет	Ростов-на-Дону	Мужчина	33 года	Высшее образование	Ростовский государственный экономический университет (РИНХ), Ростов-на-Дону	Русский — Родной Английский — A1 — Начальный	Занятость: частичная занятость	10 000 ₽ на руки	Сентябрь 2013 — по настоящее время10 лет 9 месяцев
232	8 лет	Армения	Мужчина	33 года	Высшее образование	State Engineering University of Armenia	Армянский — Родной Английский — A2 — Элементарный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	120 000 ₽ на руки	Январь 2018 — по настоящее время6 лет 5 месяцев
233	24 года	Новосибирск	Мужчина	53 года	Высшее образование	Новосибирский государственный технический университет, Новосибирск	Русский — Родной Английский — C1 — Продвинутый	Занятость: полная занятость	100 000 ₽ на руки	Январь 2010 — по настоящее время14 лет 5 месяцев
234	17 лет	Иркутск	Мужчина	38 лет	Высшее образование	Ангарская государственная техническая академия, Ангарск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	70 000 ₽ на руки	Апрель 2011 — по настоящее время13 лет 2 месяца
235	6 лет	Сургут	Мужчина	31 год	Высшее образование	Сургутский государственный университет, Сургут	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	90 000 ₽ на руки	Октябрь 2017 — по настоящее время6 лет 8 месяцев
236	16 лет	Москва	Мужчина	38 лет	Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	30 000 ₽ на руки	Октябрь 2007 — по настоящее время16 лет 8 месяцев
237	22 года	Ставрополь	Мужчина	42 года	Высшее образование	Московский гуманитарно-экономический институт, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость	60 000 ₽ на руки	Январь 2012 — по настоящее время12 лет 5 месяцев
238	8 лет	Екатеринбург	Мужчина	31 год	Высшее образование (Кандидат наук)	Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	150 000 ₽ на руки	Июнь 2020 — по настоящее время4 года
239	1 год	Ростов-на-Дону	Мужчина	21 год	Неоконченное высшее образование	Московский институт современного управления	Русский — Родной Английский — B2 — Средне-продвинутый Чешский — A1 — Начальный	Занятость: полная занятость	60 000 ₽ на руки	Декабрь 2022 — по настоящее время1 год 6 месяцев
240	19 лет	Нижнекамск	Женщина	38 лет	Высшее образование	Нижнекамский химико-технологический институт Казанского Государственного Технологического Университта	Русский — Родной	Занятость: полная занятость	15 000 ₽ на руки	Май 2007 — по настоящее время17 лет 1 месяц
241	2 года	Москва	Мужчина	22 года	Неоконченное высшее образование	Московский институт электронной техники, Москва	Русский — Родной Английский — B1 — Средний	Занятость: частичная занятость, проектная работа, стажировка	110 000 ₽ на руки	Август 2021 — по настоящее время2 года 10 месяцев
242	13 лет	Курск	Мужчина	36 лет	Высшее образование (Магистр)	Юго-Западный государственный университет, Курск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	130 000 ₽ на руки	Сентябрь 2010 — по настоящее время13 лет 9 месяцев
243	20 лет	Йошкар-Ола	Мужчина		Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Март 2004 — по настоящее время20 лет 3 месяца
244	1 год	Москва	Мужчина	30 лет	Высшее образование (Бакалавр)	Московский физико-технический институт (Государственный университет), Москва	Русский — Родной Английский — C1 — Продвинутый Немецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	90 000 ₽ на руки	Июль 2013 — Февраль 20151 год 8 месяцев
245	16 лет	Иркутск	Мужчина	35 лет	Высшее образование	Национальный исследовательский Иркутский государственный технический университет, Иркутск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	30 000 ₽ на руки	Ноябрь 2007 — по настоящее время16 лет 7 месяцев
246	17 лет	Арзамас	Мужчина	37 лет	Среднее специальное образование	Филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации, Арзамас	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	111 000 ₽ на руки	Июнь 2018 — по настоящее время6 лет
247	28 лет	Санкт-Петербург	Мужчина	71 год	Высшее образование	Политех (ЛПИ)	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	400 $ на руки	Сентябрь 1995 — по настоящее время28 лет 9 месяцев
248	3 года	Санкт-Петербург	Мужчина	26 лет	Высшее образование	Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича, Санкт-Петербург	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	270 000 ₽ на руки	Декабрь 2022 — по настоящее время1 год 6 месяцев
249	13 лет	Москва	Мужчина	33 года	Высшее образование	Московский авиационный институт (национальный исследовательский университет), Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка	400 000 ₽ на руки	Декабрь 2016 — по настоящее время7 лет 6 месяцев
250	20 лет	Санкт-Петербург	Женщина	42 года	Высшее образование	СПбГЭТУ (ЛЭТИ)	Английский — C2 — В совершенстве Русский — B2 — Средне-продвинутый	Занятость: полная занятость	50 000 ₽ на руки	Октябрь 2007 — по настоящее время16 лет 8 месяцев
251	5 лет	Красноярск	Мужчина	27 лет	Высшее образование (Бакалавр)	Сибирский федеральный университет, Красноярск	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, проектная работа	60 000 ₽ на руки	Февраль 2021 — по настоящее время3 года 4 месяца
252	10 лет	Нижневартовск	Мужчина	29 лет	Высшее образование	НВГУ	Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа	30 000 ₽ на руки	Февраль 2017 — по настоящее время7 лет 4 месяца
253	1 год	Таганрог	Мужчина		Неоконченное высшее образование	Южный федеральный университет, инженерно-технологическая академия, Таганрог	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость	80 000 ₽ на руки	Март 2023 — по настоящее время1 год 3 месяца
254	7 лет	Чебоксары	Мужчина	32 года	Высшее образование	Чувашский государственный университет им. И.Н. Ульянова, Чебоксары	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	250 000 ₽ на руки	Август 2021 — по настоящее время2 года 10 месяцев
255	17 years	Korolev	Male	45 years	Higher education	Rostov State University	Russian — Native English — B2 — Upper Intermediate German — A1 — Basic Spanish — A1 — Basic	Employment: full time, part time, project work	4 000 € in hand	October 2014 — currently9 years 8 months
256	22 года	Самара	Мужчина	60 лет	Высшее образование	Самарский государственный аэрокосмический университет им. академика С.П. Королева (национальный исследовательский университет), Самара	Русский — Родной	Занятость: полная занятость	45 000 ₽ на руки	Май 2002 — по настоящее время22 года 1 месяц
257	20 лет	Москва	Мужчина	54 года	Высшее образование	"Национальный исследовательский ядерный университет ""МИФИ"", Москва"	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	120 000 ₽ на руки	Январь 2014 — по настоящее время10 лет 5 месяцев
258	1 год	Севастополь	Мужчина	30 лет	Высшее образование (Бакалавр)	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной Английский — B2 — Средне-продвинутый Эсперанто — C1 — Продвинутый	Занятость: полная занятость, частичная занятость	130 000 ₽ на руки	Январь 2018 — Январь 20191 год 1 месяц
259	26 лет	Екатеринбург	Мужчина	69 лет	Высшее образование	УрФУ	Русский — Родной Английский — B1 — Средний Немецкий — B1 — Средний	Занятость: полная занятость, частичная занятость	150 000 ₽ на руки	Март 2020 — по настоящее время4 года 3 месяца
260	5 лет	Москва	Мужчина		Высшее образование	Московский гуманитарный университет, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	170 000 ₽ на руки	Сентябрь 2023 — Ноябрь 20233 месяца
261	8 лет	Москва	Мужчина	27 лет	Неоконченное высшее образование	Московский государственный университет им. М.В. Ломоносова, Москва	Русский — Родной Английский — C2 — В совершенстве Французский — A1 — Начальный	Занятость: полная занятость, частичная занятость	100 000 ₽ на руки	Февраль 2016 — по настоящее время8 лет 4 месяца
262	5 лет	Санкт-Петербург	Мужчина	36 лет	Высшее образование	АйТи Академия	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, частичная занятость, стажировка	150 000 ₽ на руки	Апрель 2023 — по настоящее время1 год 2 месяца
263	21 год	Москва	Мужчина	42 года	Высшее образование	МГУ -- Московский государственный университет им. М.В. Ломоносова	Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	300 000 ₽ на руки	Октябрь 2021 — по настоящее время2 года 8 месяцев
264	21 год	Курган	Мужчина	57 лет	Высшее образование	Курганский государственный университет, Курган	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	200 000 ₽ на руки	Декабрь 2015 — по настоящее время8 лет 6 месяцев
265	1 год	Москва	Мужчина	28 лет	Высшее образование (Бакалавр)	Грозненский государственный нефтяной институт им. академика М.Д. Миллионщикова, Грозный	Русский — Родной	Занятость: полная занятость	60 000 ₽ на руки	Апрель 2015 — Август 20161 год 5 месяцев
266	5 лет	Уфа	Мужчина	27 лет	Высшее образование	Московский технический университет связи и информатики, Москва	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость, частичная занятость, проектная работа, стажировка	160 000 ₽ на руки	Октябрь 2022 — Ноябрь 20231 год 2 месяца
267	5 лет	Пятигорск	Мужчина	29 лет	Образование		Русский — Родной	Занятость: полная занятость, частичная занятость, проектная работа	100 000 ₽ на руки	Март 2019 — по настоящее время5 лет 3 месяца
268	26 лет	Москва	Мужчина	49 лет	Высшее образование	МЭСИ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа	195 000 ₽ на руки	Март 2018 — по настоящее время6 лет 3 месяца
269	28 лет	Казань	Мужчина	52 года	Высшее образование	КГУ	Русский — Родной Английский — A1 — Начальный Французский — A1 — Начальный	Занятость: полная занятость	80 000 ₽ на руки	Октябрь 2021 — по настоящее время2 года 8 месяцев
270	3 года	Москва	Мужчина	28 лет	Высшее образование	Московский педагогический государственный университет, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	250 000 ₽ на руки	Январь 2024 — по настоящее время5 месяцев
271	11 лет	Горно-Алтайск	Мужчина	34 года	Высшее образование	Горно-Алтайский государственный университет, Горно-Алтайск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, стажировка	80 000 ₽ на руки	Август 2012 — по настоящее время11 лет 10 месяцев
272	15 years	Cherepovets	Male	54 years	Higher education	"ЧГУ (Череповецкий государственный университет)	Череповец"	English — C2 — Proficiency	Employment: full time, part time, project work	299 991 ₽ in hand	January 2014 — currently10 years 5 months
273	23 года	Зеленоград	Мужчина	40 лет	Высшее образование	Московский государственный технический университет им. Н.Э. Баумана, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	400 000 ₽ на руки	Август 2018 — по настоящее время5 лет 10 месяцев
274	17 лет	Череповец	Мужчина	38 лет	Высшее образование	Современная гуманитарная академия, Москва	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость, частичная занятость, проектная работа, волонтерство, стажировка	40 000 ₽ на руки	Декабрь 2019 — по настоящее время4 года 6 месяцев
275	23 года	Москва	Мужчина	47 лет	Неоконченное высшее образование	Международный институт экономики и права	Русский — Родной	Занятость: проектная работа	100 000 ₽ на руки	Январь 2011 — по настоящее время13 лет 5 месяцев
276	15 лет	Тольятти	Мужчина	36 лет	Высшее образование	Российский Государственный Социальный Университет	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	25 000 ₽ на руки	Ноябрь 2014 — по настоящее время9 лет 7 месяцев
277	4 года	Санкт-Петербург	Мужчина	40 лет	Высшее образование	СПБГПУ	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	35 000 ₽ на руки	Сентябрь 2007 — Август 20114 года
278	1 год	Санкт-Петербург	Мужчина	38 лет	Высшее образование	СПбГТИ(ТУ)	Английский — A1 — Начальный Русский — B2 — Средне-продвинутый	Занятость: полная занятость	14 000 ₽ на руки	Август 2008 — Декабрь 20085 месяцев
279	7 лет	Астрахань	Мужчина	41 год	Неоконченное высшее образование	Ставропольский государственный педагогический институт, Ставрополь	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	60 000 ₽ на руки	Декабрь 2016 — по настоящее время7 лет 6 месяцев
280	6 месяцев	Саратов	Мужчина	34 года	Высшее образование	СГТУ	Английский — B2 — Средне-продвинутый	Занятость: полная занятость	14 000 ₽ на руки	Февраль 2011 — Июль 20116 месяцев
281	11 лет	Оренбург	Мужчина	42 года	Высшее образование	Оренбургский государственный университет, Оренбург	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	25 000 ₽ на руки	Октябрь 2015 — по настоящее время8 лет 8 месяцев
282	6 лет	Хотьково	Мужчина	35 лет	Высшее образование (Бакалавр)	Институт мировой экономики и информатизации, Москва	Русский — Родной Английский — A2 — Элементарный	Занятость: полная занятость, проектная работа, стажировка	100 000 ₽ на руки	Август 2017 — по настоящее время6 лет 10 месяцев
283	17 лет	Тюмень	Мужчина	39 лет	Высшее образование (Бакалавр)	Рудненский Индустриальный Университет	Русский — Родной	Занятость: полная занятость, частичная занятость	200 000 ₽ на руки	Март 2020 — по настоящее время4 года 3 месяца
284	26 лет	Москва	Мужчина	50 лет	Среднее образование	МГТУ им. Н.Э.Баумана	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	200 000 ₽ на руки	Январь 1998 — по настоящее время26 лет 5 месяцев
285	4 года	Калининград	Мужчина	24 года	Высшее образование	IKBFU	Русский — Родной Английский — B1 — Средний Немецкий — A1 — Начальный	Занятость: полная занятость, частичная занятость, проектная работа	200 000 ₽ на руки	Январь 2023 — по настоящее время1 год 5 месяцев
286	4 месяца	Фрязино	Мужчина	34 года	Среднее специальное образование	Колледж предпринимательства №11	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	40 000 ₽ на руки	Июнь 2012 — Сентябрь 20124 месяца
287	7 месяцев	Челябинск	Мужчина	30 лет	Высшее образование	Магнитогорский государственный технический университет им. Г.И. Носова, Магнитогорск	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	15 000 ₽ на руки	Январь 2015 — Июль 20157 месяцев
288	16 лет	Петропавловск-Камчатский	Женщина	45 лет	Высшее образование	Камчатский государственный университет им. В. Беринга, Петропавловск-Камчатский	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: полная занятость	60 000 ₽ на руки	Январь 2001 — Июль 201716 лет 7 месяцев
289	3 года	Екатеринбург	Мужчина	24 года	Высшее образование	ТюмГУ	Русский — Родной Английский — B1 — Средний	Занятость: полная занятость	300 000 ₽ на руки	Апрель 2023 — по настоящее время1 год 2 месяца
290	3 года	Москва	Мужчина	25 лет	Высшее образование (Бакалавр)	Московский политехнический университет, бывший МАМИ	Русский — Родной Английский — A1 — Начальный	Занятость: полная занятость	220 000 ₽ на руки	Январь 2023 — по настоящее время1 год 5 месяцев
291	12 лет	Новосибирск	Мужчина	36 лет	Высшее образование	Новосибирский институт повышения квалификации и переподготовки работников образования, Новосибирск	Русский — Родной	Занятость: полная занятость	35 000 ₽ на руки	Январь 2015 — по настоящее время9 лет 5 месяцев
292	25 лет	Пермь	Мужчина	54 года	Высшее образование	Пермский государственный технический университет, Пермь	Русский — Родной Английский — B2 — Средне-продвинутый	Занятость: частичная занятость	2 000 ₽ на руки	Август 1998 — по настоящее время25 лет 10 месяцев
